"collision_index","vehicle_reference","vehicle_type","vehicle_manoeuvre","junction_location","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","sex_of_driver","age_of_driver","engine_capacity_cc","propulsion_code","age_of_vehicle"
"2019010170781",2,9,5,0,0,0,1,1,37,1560,2,12
"2019100871851",1,9,19,0,0,0,1,1,25,1560,2,12
"2019010211534",1,9,99,1,9,99,2,2,32,1360,1,11
"2019160854751",2,9,19,1,0,0,0,1,34,1360,1,12
"2019430071442",2,9,19,8,1,0,1,2,51,1598,1,6
"2019010189816",3,9,2,0,0,0,1,3,-1,1360,1,7
"2019200909295",1,9,19,0,0,0,1,1,22,1397,1,11
"2019460872239",2,9,3,0,0,0,2,1,50,1560,2,12
"20191369N0050",1,9,19,0,0,0,1,1,31,1560,2,12
"2019460872782",1,9,5,1,0,0,1,1,19,1360,1,11
"2019220841577",1,9,4,8,0,0,1,2,40,1360,1,12
"2019470896094",3,9,4,0,0,0,1,2,28,1360,1,10
"2019110866170",1,9,19,0,5,7,1,2,52,1360,1,13
"2019010225201",1,9,99,4,9,99,2,2,39,1398,2,8
"2019521906728",2,9,19,8,0,0,2,2,33,1560,2,12
"2019621901472",1,9,13,0,0,0,1,1,67,1560,2,9
"201931C077819",3,9,19,1,0,0,1,1,58,1560,2,7
"2019100845695",1,9,19,8,2,0,1,1,28,1398,2,10
"2019331901275",2,9,19,0,0,0,1,1,68,-1,-1,-1
"2019160836279",1,9,19,0,0,0,1,1,44,1397,1,12
"201906K158785",1,9,19,0,0,0,0,1,25,1360,1,12
"2019541875619",1,9,3,1,0,0,1,2,33,1360,1,9
"2019460817791",2,9,19,8,0,0,3,2,46,1360,1,9
"2019040885153",1,9,19,0,0,0,1,2,43,1560,2,12
"2019051913065",1,9,19,8,0,0,4,1,24,1598,1,10
"2019420897235",2,9,19,8,0,0,4,2,44,1360,1,10
"2019220886089",2,9,19,8,0,10,4,2,57,1598,1,5
"2019470866071",1,9,19,2,1,0,1,1,55,1560,2,11
"2019470879126",2,9,4,0,0,0,2,2,24,1360,1,12
"2019430319692",2,9,19,0,0,0,1,1,28,1360,1,10
"2019500916625",1,9,4,0,2,0,1,1,25,-1,-1,-1
"2019470861522",1,9,19,0,0,11,1,1,19,1360,1,13
"2019136830654",2,9,2,0,0,0,2,2,65,1398,2,8
"2019121901578",1,9,13,0,0,0,1,2,36,1398,2,10
"2019430207775",2,9,19,0,0,0,1,1,24,1560,2,13
"2019100354926",2,9,-1,-1,-1,-1,-1,1,44,1398,2,11
"2019460897641",1,9,11,0,0,0,1,2,20,1560,2,11
"2019340N07531",2,9,19,8,0,0,4,1,39,1360,1,12
"2019121900957",1,9,5,1,0,0,3,2,52,1398,2,11
"2019010211367",1,9,99,9,9,99,2,1,35,1360,1,12
"2019100872192",1,9,19,0,1,0,1,1,19,1360,1,11
"2019010217497",1,9,19,1,0,0,1,1,41,1360,1,10
"2019100871151",2,9,19,0,0,0,1,1,26,1360,1,13
"2019450811770",1,9,19,0,0,0,1,2,37,1598,1,7
"2019370923052",3,9,19,0,0,0,1,1,23,1398,2,7
"2019450811420",2,9,19,1,0,0,1,2,18,1397,1,9
"2019030898134",1,9,10,1,0,0,1,2,22,1598,1,12
"2019340N04441",1,9,9,8,5,0,4,1,74,1360,1,10
"201963D098719",1,9,9,5,0,0,4,1,64,1398,2,10
"2019470880682",1,9,19,0,5,0,0,1,27,1360,1,12
"2019301901356",2,9,14,0,0,0,4,1,19,1398,2,12
"2019200919179",1,9,19,1,0,0,1,1,-1,1360,1,10
"2019500923187",1,9,19,0,5,0,4,1,47,1598,1,10
"2019040819583",2,9,4,1,0,0,0,2,69,1560,2,11
"2019200895886",1,9,9,6,0,0,1,1,55,1360,1,12
"2019051911446",1,9,19,8,0,0,1,2,29,1560,2,7
"2019420840898",2,9,9,4,0,0,4,2,51,1360,1,11
"201963C062919",1,9,19,1,0,0,1,1,25,1360,1,9
"2019530884474",1,9,9,4,0,0,-1,2,34,1360,1,12
"2019470913371",1,9,19,0,0,0,1,2,27,1598,1,11
"2019460895732",2,9,19,1,0,4,3,1,29,1360,1,12
"2019500927500",1,9,19,0,2,0,1,2,20,1360,1,12
"2019460908230",1,9,19,2,0,0,1,2,19,1360,1,9
"2019460873244",1,9,19,1,0,0,0,1,24,1360,1,8
"2019010227639",2,9,9,8,0,0,1,1,25,1360,1,10
"2019010177587",1,9,99,0,9,99,2,2,44,1598,1,8
"2019100884605",1,9,7,0,0,0,1,1,46,1560,2,9
"2019010207773",1,9,99,9,9,99,9,1,85,1398,2,8
"2019100850037",2,9,19,1,0,0,3,2,44,1360,1,12
"2019420879677",1,9,19,0,0,0,1,2,56,1598,1,7
"2019100820031",1,9,4,0,0,0,1,2,30,1360,1,10
"2019331900746",1,9,19,2,0,0,1,2,37,1560,2,10
"2019100849717",2,9,19,8,0,0,1,1,36,1560,2,8
"2019331900673",1,9,19,0,0,0,1,2,-1,1560,2,12
"201963D119619",2,9,19,0,0,0,1,2,39,1560,2,10
"2019010194079",1,9,99,9,9,99,9,3,48,1560,2,12
"2019430336699",2,9,19,1,0,0,1,2,44,1560,2,7
"2019100817715",2,9,19,0,1,0,3,1,66,1560,2,12
"2019950000303",2,9,19,8,0,0,1,2,55,1360,1,12
"2019100816295",4,9,19,0,0,0,2,2,29,1360,1,10
"2019331900854",2,5,19,0,1,0,1,1,66,885,1,25
"2019440110505",3,5,19,0,0,0,1,1,31,650,1,52
"2019521906188",1,5,14,0,0,0,1,1,40,885,1,25
"2019010176032",1,5,13,1,1,0,3,1,50,865,1,3
"2019970871428",1,5,19,4,2,0,3,1,54,1200,1,0
"2019950000609",2,4,19,4,0,0,3,1,51,865,1,4
"2019470899604",2,5,19,1,0,0,2,1,35,1200,1,1
"2020010262875",2,3,19,8,5,0,1,1,38,125,1,17
"2020430133327",1,9,19,8,0,0,1,1,44,1598,1,7
"2020010265108",2,9,99,9,9,99,1,3,-1,1598,1,8
"2020500962327",2,9,19,0,0,0,1,2,52,1598,1,5
"2020302000100",1,9,19,1,1,0,1,2,41,1598,1,5
"2020340N02842",1,9,12,6,0,0,3,2,36,1598,1,8
"2020522000524",2,9,19,8,0,0,4,1,44,-1,3,1
"2020370966009",2,9,19,0,0,0,0,1,58,-1,3,2
"2020210997822",2,9,4,0,0,0,3,1,59,-1,3,1
"2020622000208",3,9,4,0,0,0,2,2,31,2460,2,14
"2020070368644",2,3,19,0,0,0,3,1,74,535,1,19
"2021010321969",1,9,10,5,0,0,1,1,43,3956,2,4
"2021131126239",2,9,7,8,0,0,1,1,36,2204,2,13
"2021221022039",2,9,13,2,0,0,0,2,25,2204,2,16
"2021991062143",1,9,19,0,0,0,1,1,74,1998,1,16
"2021481142658",2,4,19,8,0,0,3,1,38,330,1,0
"2021201139638",2,9,5,4,0,0,1,1,49,-1,3,0
"2021010337659",2,9,99,9,9,99,1,3,55,-1,3,2
"2021451087984",1,9,19,0,0,0,3,2,43,-1,3,2
"2021411047646",2,9,4,0,0,0,1,1,31,-1,3,2
"2021991033533",1,9,19,0,0,0,1,1,34,-1,3,1
"2021531069875",1,5,13,1,2,0,4,1,20,649,1,12
"2021131050142",3,21,19,0,0,0,0,1,59,12419,2,6
"2021522101955",1,21,19,0,0,0,1,1,29,10518,2,8
"2021141080909",1,11,19,0,0,0,1,1,59,6871,2,13
"2021320561054",2,20,19,2,0,0,1,1,45,4580,2,4
"2021522103167",1,19,9,6,0,0,1,1,47,4580,2,5
"2021170M11571",2,21,19,0,0,0,2,1,54,12419,2,1
"2021221124957",1,21,19,0,0,0,3,1,57,12419,2,3
"2021061114760",1,21,11,0,0,0,1,1,61,12419,2,4
"2021141063332",1,11,19,1,0,0,0,1,45,6871,2,13
"2021010293350",1,19,7,1,0,0,4,1,46,-1,-1,-1
"2021010288039",1,21,19,2,0,0,1,1,57,12419,2,4
"2021461105619",5,21,19,0,0,0,1,1,35,6870,2,10
"2021320692869",2,21,19,0,0,0,3,1,54,12419,2,3
"2021440286463",1,19,19,0,0,0,1,1,25,1968,2,0
"2021141068243",1,11,19,1,0,0,0,1,54,6871,2,13
"2021421049467",1,21,5,1,0,0,1,1,62,12419,2,2
"2021010347577",3,20,4,2,0,0,2,1,49,4580,2,7
"2021010319550",2,9,99,9,9,99,1,3,-1,3800,1,6
"2021411022351",2,9,19,0,1,0,1,1,46,3745,1,1
"2021061135130",2,9,9,8,0,0,3,2,30,3800,1,6
"2021421125027",4,9,4,0,0,0,2,1,60,3387,1,20
"2021010315946",2,9,15,1,0,0,3,1,37,3436,1,9
"2021010341197",2,9,19,2,0,10,3,2,29,1149,1,13
"20211382G1077",3,9,19,1,0,0,2,2,58,1598,1,16
"2021131065283",1,9,9,6,0,0,1,1,43,1461,2,11
"2021010298142",2,9,9,2,0,0,4,2,-1,1598,1,13
"2021122101265",2,3,19,1,0,0,1,1,20,124,1,13
"2021302100697",2,5,4,0,1,0,1,1,59,2300,1,16
"2021522102159",2,9,19,8,0,0,1,2,33,1598,1,8
"2021411033618",2,9,4,1,0,0,1,2,42,1956,2,6
"2021311153048",1,9,19,0,2,0,2,2,39,1956,2,5
"2021451110700",1,9,5,4,0,0,1,2,34,1998,1,14
"2021161134391",1,9,19,0,0,0,1,2,43,1598,1,8
"2021141024867",1,9,19,0,0,0,1,3,-1,1910,2,12
"2021070514084",1,9,13,1,0,0,4,1,74,1598,1,14
"2021101027935",2,9,19,0,0,0,1,1,37,1598,1,15
"2021201145974",1,9,1,0,0,0,4,1,34,1796,1,7
"2021010346998",2,9,9,5,0,0,4,1,35,1364,1,4
"2021552101339",2,9,19,8,0,0,1,2,37,1364,1,4
"2021122101290",4,9,3,2,0,0,2,1,37,1598,1,9
"2021010315354",1,9,9,1,0,0,1,1,48,1598,1,13
"2021546559921",1,9,12,4,0,0,3,1,58,1598,1,12
"2021501039952",3,9,10,1,0,0,1,2,54,1598,1,8
"2021010306876",1,8,99,0,9,99,9,1,50,1598,2,5
"2021010299970",2,9,99,0,0,0,2,3,-1,1796,1,8
"2021010320432",1,9,99,9,9,99,1,2,32,1598,1,10
"2021010329293",2,9,99,9,9,99,2,3,49,1956,2,7
"2021161029707",1,9,19,4,0,0,1,3,-1,1686,2,11
"2021622100957",1,9,19,1,0,0,1,2,33,1598,1,10
"2021461090985",1,9,19,1,0,0,1,2,74,1910,2,15
"2021201101367",2,9,4,0,0,0,3,1,25,1364,1,4
"2021430061036",2,9,19,4,0,0,4,1,-1,1910,2,11
"2021411039085",1,9,19,0,0,0,4,1,35,1796,1,16
"2021041090190",2,9,19,1,0,0,4,1,41,1598,1,16
"2021131034645",2,9,19,6,0,0,2,1,43,1686,2,10
"2021131059703",3,9,19,0,0,0,3,2,52,1598,1,8
"2021161108977",1,9,19,1,0,0,1,2,42,1910,2,13
"2021122100454",1,9,19,8,0,0,1,2,34,1956,2,6
"2021522104431",2,9,9,8,0,0,2,2,63,1956,2,9
"2021471124990",1,9,19,1,0,10,4,2,40,1796,1,9
"2021451057089",2,9,19,2,0,0,3,2,42,1598,1,12
"2021010323832",1,9,7,6,0,0,4,1,41,1910,2,12
"2021501026624",1,9,5,0,0,0,3,2,26,1796,1,11
"2021010336169",1,9,99,9,9,99,9,2,48,1598,1,11
"2021010316527",2,9,2,1,0,0,2,3,-1,1796,1,7
"2021411030641",2,9,19,0,0,11,1,1,60,1364,1,5
"2021421125089",2,9,19,8,0,0,1,1,69,1956,2,7
"2021351034663",1,9,9,4,0,0,1,1,44,1598,1,9
"2021161056999",2,9,19,0,2,0,3,1,36,1910,2,14
"2021451048960",1,9,4,0,0,0,2,1,33,1364,1,4
"2021010323321",1,9,99,1,0,0,9,2,43,1598,1,14
"202131D103421",1,9,9,6,0,0,1,1,42,1364,1,4
"2021430411009",1,9,19,0,0,0,1,1,82,1364,1,3
"2021101093628",1,9,19,0,5,0,1,2,31,1598,1,13
"2021471056132",2,9,3,1,0,0,2,1,36,1598,1,14
"2021531026731",1,9,5,8,0,0,1,1,34,1598,1,8
"2021552100492",3,9,2,0,0,0,1,3,-1,1956,2,9
"2021361140859",3,9,2,0,0,0,1,2,57,1686,2,8
"2021010308039",1,9,99,9,9,99,2,2,46,1598,1,22
"2021461027677",1,9,19,1,0,4,1,1,22,1796,1,18
"2021531031530",2,9,19,1,1,0,1,1,42,1956,2,7
"2021010294090",1,9,19,8,0,0,3,1,33,1910,2,14
"2021041025792",5,9,2,1,0,0,1,3,-1,1598,1,17
"2021131041173",1,9,19,0,0,0,1,3,-1,1686,2,11
"2021010329857",1,9,19,1,0,0,1,2,34,1364,1,5
"2021041014564",1,9,7,6,0,0,1,2,48,1364,1,5
"2021440407039",2,8,10,1,0,0,2,1,59,1956,2,5
"2021552100283",1,9,9,6,0,0,3,2,43,1598,1,17
"2021201094981",1,9,5,1,0,0,3,1,33,1598,1,15
"2021010289683",2,9,19,0,0,0,2,1,54,1796,1,17
"2021522200070",2,9,9,0,0,0,4,1,28,1598,1,13
"2021302101109",1,9,19,0,0,0,1,2,32,1598,1,21
"2021471104072",1,9,4,4,0,0,1,1,76,1956,2,6
"2021052100578",1,9,19,8,0,0,3,2,44,1598,1,10
"2021411120831",2,9,9,0,1,0,4,1,28,1910,2,14
"2021461024670",2,9,13,0,0,0,4,1,37,1598,1,13
"2021461017018",1,9,19,0,0,0,1,1,61,1796,1,8
"2021131060508",1,9,19,2,0,0,4,1,40,1598,1,12
"2021201134080",1,9,1,0,0,0,2,1,-1,1598,1,11
"2021221063750",2,9,19,0,1,0,1,1,39,1598,1,15
"2021471096508",1,9,7,1,0,0,1,1,29,1796,1,7
"2021010309964",1,9,9,6,0,0,1,2,36,1598,1,14
"2021622100622",2,9,8,1,0,0,2,1,26,1598,1,12
"2021161025395",2,9,19,0,0,0,1,2,39,1598,1,16
"2021471089032",1,9,19,2,0,0,3,2,36,1686,2,10
"2021361041867",2,9,19,0,0,0,0,1,52,1598,1,10
"2021221017632",1,9,19,6,1,0,1,1,50,1686,2,9
"2021440270057",2,9,19,0,0,0,1,1,-1,1956,2,7
"2021221037539",1,9,11,5,2,0,1,1,31,1686,2,10
"2021010316087",2,9,4,5,0,0,2,1,52,1598,1,8
"2021201077595",2,9,10,1,0,0,2,2,44,1796,1,15
"2021010292005",2,9,3,1,0,0,2,1,42,1598,1,12
"2021461095786",2,9,3,0,0,0,2,1,62,1956,2,7
"2021010311252",1,9,3,8,0,0,1,1,28,1796,1,13
"2021010319350",2,9,19,8,0,0,1,2,35,1910,2,11
"2021401084705",2,9,9,5,0,0,3,2,52,1598,1,9
"2021211045285",1,9,7,4,0,0,1,2,63,1956,2,7
"2021547258221",2,9,19,1,0,0,1,1,48,1598,1,16
"2021010313215",1,9,7,4,0,0,1,1,40,1910,2,13
"2021131038760",1,9,13,0,2,0,1,2,36,1598,1,16
"2021010306185",1,9,19,9,9,99,2,2,34,1598,1,14
"202131A028921",1,9,7,6,0,0,4,1,60,1598,1,14
"2021010302689",2,9,99,9,9,99,2,3,-1,1598,1,12
"2021461050721",2,9,19,8,0,0,1,2,29,1598,1,13
"2021201143553",1,9,19,4,0,0,1,1,-1,1598,1,15
"2021411051757",1,9,19,4,0,0,0,1,49,1796,1,10
"2021361121783",1,9,7,4,0,0,0,1,36,1910,2,14
"2021041126194",1,9,19,0,0,0,1,2,38,1598,1,12
"2021302100870",2,9,19,1,0,0,1,1,42,1686,2,9
"2021430136518",1,9,4,1,0,0,1,1,20,1796,1,14
"2021440154399",2,9,19,8,0,0,4,1,83,1364,1,5
"2021401057762",3,9,4,0,1,10,2,1,49,1956,2,8
"2021111067141",1,9,19,1,0,0,1,1,59,1598,1,17
"2021320417315",1,9,5,8,5,0,0,1,58,1598,1,17
"2021221022207",1,9,19,0,1,10,1,1,27,1796,1,14
"2021010342195",1,9,99,0,9,99,9,2,38,1364,1,4
"202134NNC2701",1,8,19,3,0,0,1,1,55,1598,2,4
"2021131066986",1,9,-1,0,-1,-1,-1,3,-1,1796,1,10
"2021461092348",1,9,19,0,0,0,4,2,31,1598,2,5
"2021010294854",1,11,4,1,0,0,2,1,68,5132,2,5
"2022010418487",1,9,99,9,9,99,9,3,-1,-1,3,0
"2022161234595",2,5,19,1,0,0,1,1,33,895,1,2
"2022101185356",2,9,19,8,0,0,2,1,72,1991,2,19
"2022401164813",1,3,19,0,0,7,1,1,30,125,1,7
"2022421223792",1,3,19,0,1,0,0,3,24,125,1,6
"2022991151509",1,9,19,2,1,4,1,2,30,1499,1,8
"2022522205143",1,9,1,8,0,0,2,2,51,1496,2,7
"2022440388189",1,9,5,0,0,0,1,1,29,1598,1,12
"2022451228334",1,9,19,0,1,0,1,2,41,1598,1,16
"2022101139344",2,9,19,0,0,0,3,2,61,1499,1,5
"2022010355179",1,9,10,8,0,0,1,2,70,1598,1,9
"2022451134142",2,9,3,0,0,0,1,2,30,1598,1,15
"2022461222956",1,9,9,0,0,0,3,2,-1,1995,2,10
"2022991188038",5,9,19,2,0,0,1,2,50,-1,3,2
"2022411156590",1,9,19,0,0,0,1,2,34,1598,1,14
"2022201272080",1,9,9,5,0,10,1,1,19,-1,3,1
"202234WNC3062",2,9,19,1,0,0,1,3,17,1598,1,13
"2022131188114",2,9,19,0,0,0,4,2,63,1600,1,11
"2022311155204",1,9,19,2,0,0,1,2,37,1499,1,1
"2022471219478",1,9,9,0,0,0,4,2,24,1499,1,1
"2022201253565",3,9,19,1,0,0,2,1,-1,1598,1,13
"2022430511204",1,9,9,8,1,0,1,2,40,1598,1,19
"2022161129378",1,9,19,0,0,0,2,2,43,1496,2,8
"2022351181286",2,9,2,0,0,0,2,2,49,1499,1,6
"2022421161372",2,9,5,8,0,0,1,1,50,1598,1,8
"2022430536392",1,9,19,0,0,0,1,2,46,1598,1,13
"2022010375248",2,9,4,1,0,0,1,1,34,1998,1,1
"2022161217418",2,9,19,8,0,0,1,1,37,1499,1,0
"2022010403453",2,9,99,9,9,99,1,2,-1,1499,1,4
"2022010364877",1,9,6,8,0,0,1,3,-1,1998,1,4
"2022461182901",1,9,5,8,0,0,1,2,26,1499,1,7
"2022041144645",1,9,19,2,0,0,1,2,22,1496,2,7
"2022451133179",2,9,19,0,0,0,1,2,24,1598,1,15
"2022010363649",2,9,99,9,9,99,1,3,-1,1598,1,12
"2022201164005",2,9,4,0,0,0,3,2,60,1560,2,14
"2022010384137",2,9,19,9,9,99,2,2,38,1998,1,4
"2022421145302",1,9,19,0,0,0,4,1,32,1598,1,20
"2022471203373",2,9,4,1,0,0,2,2,27,1499,1,5
"2022501251089",1,9,19,1,0,0,1,1,23,1598,1,15
"2022552201027",1,9,19,0,2,0,4,2,41,1598,1,15
"2022461191036",2,9,19,1,0,0,1,2,60,1598,1,20
"2022010410967",2,9,9,6,0,0,1,3,-1,1598,1,19
"202263A106422",1,9,19,0,1,0,1,2,57,1995,2,10
"2022401267787",1,9,12,0,0,4,1,1,35,1499,1,6
"2022221162376",2,9,4,8,0,0,3,2,25,1995,2,11
"2022070837660",2,9,9,5,0,0,2,2,49,1598,1,9
"202234NNC1682",1,9,19,8,0,0,1,2,49,1598,1,16
"2022010366961",1,9,19,0,0,0,1,2,31,1598,1,18
"2022451222832",1,9,19,1,5,0,1,2,38,1598,1,19
"2022471173128",1,9,19,0,0,0,1,1,25,1598,1,18
"2022451252726",2,9,19,0,0,0,1,1,63,1560,2,12
"202234WNC6212",2,9,19,0,0,0,2,1,41,1998,1,7
"2022161139020",1,9,2,0,0,0,0,1,32,1598,1,18
"2022161278785",1,9,3,1,0,0,0,2,41,1560,2,13
"2022010369453",1,9,19,0,0,0,1,1,47,1598,1,18
"2022221253014",1,9,19,0,5,0,4,2,31,1598,1,17
"2022340WNC312",1,9,6,0,0,0,1,2,53,1598,1,16
"2022010369127",2,9,99,9,9,99,1,1,25,1598,1,13
"2022010410216",2,9,99,9,9,99,1,2,-1,1499,1,4
"2022041177732",1,9,19,0,1,0,1,1,19,1560,2,14
"2022010395392",2,9,19,1,0,0,1,2,53,1499,1,6
"2022440492667",1,9,9,6,0,0,4,1,76,-1,3,2
"2022501162827",1,9,19,0,5,0,4,1,35,1598,1,19
"2022430011017",1,9,9,6,0,0,0,1,47,1499,1,3
"2022531243852",1,9,19,1,0,0,1,2,34,1499,1,4
"202234WNC8672",1,9,19,1,0,0,1,2,30,1998,1,6
"20225222ME628",1,9,19,0,0,0,1,1,53,1598,1,14
"2022031224246",2,9,19,1,0,0,4,2,53,1499,1,4
"2022221195628",2,9,19,8,0,0,1,1,53,1598,1,10
"2022610021322",1,9,7,2,5,4,1,1,31,1598,1,10
"2022451214086",2,9,19,0,0,0,1,2,74,1598,1,20
"2022010407952",1,9,9,5,0,0,1,1,19,1598,1,15
"2022061169966",1,9,4,1,0,0,2,1,36,1499,1,1
"2022061148548",1,9,10,4,0,0,1,3,30,1496,2,7
"2022461155054",1,9,19,0,1,0,1,2,35,1598,1,16
"2022501166483",1,9,4,1,0,0,1,1,51,1598,1,17
"2022552201451",2,9,4,8,0,0,4,1,60,1998,1,4
"2022461156043",2,9,19,0,0,0,3,2,57,1598,1,20
"2022010386001",1,9,99,9,9,99,2,3,21,1598,1,19
"2022461175240",1,9,19,0,0,0,1,2,36,1598,1,19
"2022401271317",2,9,19,0,0,0,1,2,38,1598,1,12
"2022311135102",2,9,2,0,0,0,3,3,-1,1499,1,2
"2022501247689",2,9,19,0,0,0,1,2,67,1998,1,1
"2022201234635",1,9,19,0,0,0,1,2,40,1496,2,5
"2022111242278",2,9,4,1,0,0,2,2,52,-1,3,1
"2022332200868",1,9,9,6,0,0,1,2,41,1598,2,9
"2022010394209",1,9,19,2,0,0,3,2,38,1998,1,2
"2022052200587",1,9,9,8,0,0,4,2,80,1995,2,10
"2022161245967",1,9,19,8,0,0,1,2,72,1998,1,2
"2022010418045",1,9,3,1,0,0,1,2,36,-1,3,2
"2022461195686",2,9,2,0,0,0,3,3,-1,1598,1,17
"2022010355631",2,9,13,0,1,0,1,1,26,1598,1,15
"2022421254907",3,9,2,0,0,4,2,3,-1,1598,1,14
"2022131150411",2,9,9,1,0,0,4,2,47,1998,1,6
"2022361150355",2,9,9,8,0,0,2,2,55,1499,1,2
"2022131215200",2,9,19,8,0,0,1,2,18,1598,1,9
"2022231149617",4,9,10,1,0,0,2,2,33,-1,3,1
"2022041140349",1,9,19,1,0,0,1,2,32,1995,2,5
"2022461223255",1,9,19,0,5,11,4,2,18,1499,1,3
"2022061170073",2,9,13,0,0,0,1,1,-1,1998,1,1
"2022010379791",2,9,3,0,0,0,1,1,21,1600,1,11
"2022201243307",1,9,15,1,0,0,1,1,24,1998,1,5
"2022351155088",2,9,3,1,0,0,4,2,40,1598,1,20
"2022411183654",2,9,10,0,0,0,3,1,18,1598,1,20
"2022010411772",1,9,19,0,5,10,4,2,19,1598,2,11
"2022221224430",2,9,9,5,0,0,3,2,18,1598,1,20
"2022622200671",2,9,19,1,0,0,1,1,38,1598,1,9
"2022031235329",1,9,19,0,1,0,1,2,86,1598,1,13
"2022211201336",1,9,19,0,0,0,3,2,19,1598,1,12
"2022010369512",1,9,11,1,0,0,4,2,52,1499,1,1
"2022421202843",1,9,19,8,0,0,4,2,61,1499,1,3
"2022451189127",1,9,19,2,0,0,3,1,42,1499,1,3
"2022041139932",3,9,19,1,0,0,2,2,29,1560,2,14
"2022041178466",2,9,19,0,0,0,2,1,48,-1,3,1
"2022302200772",2,9,19,8,0,0,3,2,75,1499,1,3
"2022111190464",1,9,19,2,0,0,1,1,52,1998,1,4
"2022131251011",2,9,9,1,0,0,3,2,54,1600,1,11
"2022351235592",2,9,19,0,0,0,4,2,45,1499,1,1
"2022991209082",3,9,19,0,0,0,1,2,54,1998,1,2
"2022010404668",2,9,19,1,0,0,3,1,32,1499,1,5
"2022061238277",1,9,-1,-1,-1,-1,-1,1,-1,1499,1,7
"2022552201308",1,9,9,6,0,0,1,2,55,1598,1,14
"2022544454122",1,9,7,6,0,0,3,2,22,1598,1,12
"2022041258333",1,9,19,0,1,0,1,1,19,1598,1,14
"2022010378962",1,9,99,9,9,99,9,2,28,1499,1,4
"2022451252123",1,9,15,0,0,0,1,1,27,1598,1,19
"2022451191773",2,9,9,6,0,0,4,2,49,1499,1,6
"2022451149766",2,9,5,2,0,0,1,1,32,1598,1,20
"2022010405616",1,9,99,9,9,99,2,2,48,1499,1,1
"2022991143154",3,9,2,2,0,0,2,3,-1,-1,3,1
"2022421175084",1,9,19,0,0,0,1,1,21,1998,1,5
"2022430323094",2,9,19,0,0,0,4,2,34,1998,1,3
"2022991259299",1,9,5,6,0,0,4,2,31,1598,1,15
"2022552300027",2,9,3,1,0,0,2,2,19,1560,2,13
"2022131224100",1,9,19,0,0,0,2,2,77,1598,1,11
"202263C078722",2,9,4,1,0,0,2,2,29,1496,2,5
"2022622200693",1,9,19,0,0,4,1,1,37,1598,1,19
"2022201276854",1,9,19,0,0,4,1,2,51,1598,1,21
"2022070350615",2,9,19,0,0,0,1,1,65,1598,1,17
"2022010412132",1,9,19,1,0,0,1,2,27,1499,1,5
"2022501161357",2,9,4,0,5,0,2,2,47,1600,1,10
"2022010376155",3,9,99,9,9,99,9,3,-1,-1,3,1
"202234NNC8552",2,9,19,0,0,0,3,1,59,1995,2,5
"2022371238196",1,9,19,8,0,0,1,1,21,1998,1,3
"2022501223591",2,9,2,0,0,0,2,1,66,1496,2,6
"2022531237871",1,9,9,4,0,0,1,2,47,1598,1,13
"2022411183649",1,9,19,1,0,0,1,2,34,1598,1,13
"2022440384911",1,9,19,0,0,0,3,2,54,1598,1,17
"2022161183908",1,9,5,8,0,0,3,2,37,1499,1,6
"2022010358900",2,9,9,6,0,0,1,2,20,1598,1,18
"2022401181559",2,9,2,0,0,0,2,2,50,1598,1,12
"2022010416040",1,3,99,9,9,99,2,1,34,125,1,4
"2022010418931",1,3,99,9,9,99,9,1,20,125,1,2
"2022010394693",1,3,19,2,0,0,1,1,21,125,1,5
"2022010404394",1,3,99,9,9,99,1,1,38,125,1,0
"2022131128012",1,3,19,8,0,0,1,1,40,125,1,6
"2022201281905",2,3,19,8,0,0,1,1,21,125,1,5
"2022552200473",1,9,19,0,1,0,1,2,43,999,1,3
"2022440354043",1,9,19,1,0,0,2,2,20,999,1,7
"2022101225539",1,9,19,8,0,11,1,1,60,999,1,3
"2022430518956",1,9,19,8,0,0,1,2,50,999,1,8
"2022501143619",1,9,19,0,0,0,4,1,48,999,1,6
"2022131135235",1,9,4,1,0,0,2,1,32,999,1,9
"2022430341190",1,9,19,0,0,0,1,2,35,999,1,8
"2022221185777",1,9,7,6,0,10,1,2,87,999,1,4
"20225222BA425",1,9,19,1,0,0,1,2,61,999,1,7
"2022371183201",1,9,19,0,1,0,2,2,18,999,1,8
"2022170L30252",2,9,9,8,0,0,4,2,79,999,1,3
"2022010387879",1,9,5,4,0,0,1,2,47,999,1,7
"2022141255853",2,9,10,4,0,0,2,2,51,999,1,3
"2022440321240",1,9,4,1,0,0,2,1,36,999,1,8
"2022461239999",1,4,19,0,2,0,1,1,19,385,1,17
"2022471135876",1,4,19,0,1,0,1,1,62,400,1,4
"2022010353973",1,3,19,1,0,0,1,1,24,125,1,3
"2023141312125",1,9,19,0,0,0,1,1,-1,2993,1,2
"2023221320568",1,9,19,2,0,0,1,1,19,2979,1,5
"2023411346440",2,9,11,3,0,0,3,1,28,2979,1,8
"2023451314817",2,9,19,0,0,0,1,1,27,2979,1,6
"2023010472540",3,9,19,4,0,0,1,1,32,2979,1,8
"2023161352639",1,9,19,8,0,0,3,1,28,1995,1,18
"2023010457458",1,9,9,6,0,0,3,1,24,2497,1,13
"2023010470100",2,9,99,9,9,99,9,3,-1,2497,1,14
"2023010445813",1,9,4,5,0,0,3,1,55,1998,1,3
